Lvl,Mon,Main role,Atk Base,Str,Agi,Dex,Int,Vit,Base HP,Base ATK,Base Def
56,Tuskettle,Tank,Strength-based,45,12,28,7,54,4422,136,19
57,Tuskettle,Tank,Strength-based,45,12,30,7,55,4570,138,19
58,Tuskettle,Tank,Strength-based,46,12,30,7,56,4722,140,20
59,Tuskettle,Tank,Strength-based,47,12,30,8,57,4876,142,20
60,Tuskettle,Tank,Strength-based,48,13,31,8,57,5002,144,20
61,Tuskettle,Tank,Strength-based,49,14,31,8,58,5160,146,20
62,Tuskettle,Tank,Strength-based,49,15,32,8,59,5323,148,21
63,Tuskettle,Tank,Strength-based,50,15,32,9,60,5489,159,21
64,Tuskettle,Tank,Strength-based,51,15,32,9,61,5659,161,21
65,Tuskettle,Tank,Strength-based,51,16,33,9,62,5832,162,22
66,Tuskettle,Tank,Strength-based,52,16,33,9,63,6008,164,22
67,Tuskettle,Tank,Strength-based,53,16,35,9,63,6148,167,22
68,Tuskettle,Tank,Strength-based,54,16,35,9,64,6330,169,22
69,Tuskettle,Tank,Strength-based,55,17,35,9,65,6515,171,23
70,Tuskettle,Tank,Strength-based,55,18,36,9,66,6704,173,23
71,Tuskettle,Tank,Strength-based,56,18,36,9,67,6897,175,23
72,Tuskettle,Tank,Strength-based,57,19,36,9,68,7092,177,24
73,Tuskettle,Tank,Strength-based,57,19,38,9,69,7290,178,24
74,Tuskettle,Tank,Strength-based,58,19,38,9,70,7493,180,24
75,Tuskettle,Tank,Strength-based,59,20,38,9,71,7700,182,24
76,Tuskettle,Tank,Strength-based,60,21,38,9,72,7910,195,25
77,Tuskettle,Tank,Strength-based,61,21,40,9,72,8077,198,25
78,Tuskettle,Tank,Strength-based,61,21,40,9,74,8341,200,25
79,Tuskettle,Tank,Strength-based,62,21,42,9,74,8512,202,26
80,Tuskettle,Tank,Strength-based,63,21,42,9,75,8736,204,26
81,Tuskettle,Tank,Strength-based,64,21,42,9,76,8963,206,26
82,Tuskettle,Tank,Strength-based,65,21,42,9,77,9195,208,26
83,Tuskettle,Tank,Strength-based,66,21,43,9,78,9430,210,27
84,Tuskettle,Tank,Strength-based,66,21,43,9,80,9723,211,27
85,Tuskettle,Tank,Strength-based,67,21,45,9,80,9912,215,27
86,Tuskettle,Tank,Strength-based,68,21,45,9,81,10157,217,28
87,Tuskettle,Tank,Strength-based,69,21,46,9,82,10408,219,28
88,Tuskettle,Tank,Strength-based,70,21,46,9,83,10663,234,28
89,Tuskettle,Tank,Strength-based,71,21,46,9,84,10922,236,28
90,Tuskettle,Tank,Strength-based,71,21,48,9,85,11185,237,29
91,Tuskettle,Tank,Strength-based,72,21,48,9,86,11452,239,29
92,Tuskettle,Tank,Strength-based,73,21,49,9,87,11723,241,29
93,Tuskettle,Tank,Strength-based,74,21,49,9,88,11996,244,30
94,Tuskettle,Tank,Strength-based,75,21,49,9,89,12275,246,30
95,Tuskettle,Tank,Strength-based,76,21,50,9,90,12559,249,30
96,Tuskettle,Tank,Strength-based,76,21,51,9,91,12846,250,30
97,Tuskettle,Tank,Strength-based,77,21,52,9,92,13138,252,31
98,Tuskettle,Tank,Strength-based,78,21,52,9,93,13434,254,31
99,Tuskettle,Tank,Strength-based,79,21,52,9,94,13735,256,31
100,Tuskettle,Tank,Strength-based,80,21,53,9,95,14040,274,32
1,Wickeep,DPS,Dex-Based,1,8,9,3,8,151,17,1
2,Wickeep,DPS,Dex-Based,1,8,10,3,8,162,20,1
3,Wickeep,DPS,Dex-Based,1,8,11,3,9,176,22,1
4,Wickeep,DPS,Dex-Based,1,8,12,3,9,189,25,1
5,Wickeep,DPS,Dex-Based,1,8,13,3,9,202,27,1
6,Wickeep,DPS,Dex-Based,1,8,14,3,9,216,30,1
7,Wickeep,DPS,Dex-Based,1,9,15,3,9,231,32,1
8,Wickeep,DPS,Dex-Based,1,9,16,3,9,246,35,1
9,Wickeep,DPS,Dex-Based,1,10,17,3,9,262,37,1
10,Wickeep,DPS,Dex-Based,1,10,18,3,9,279,40,2
11,Wickeep,DPS,Dex-Based,1,10,19,3,10,298,42,2
12,Wickeep,DPS,Dex-Based,1,11,19,4,11,318,44,2
13,Wickeep,DPS,Dex-Based,1,11,20,5,11,336,49,2
14,Wickeep,DPS,Dex-Based,1,11,21,6,11,355,52,2
15,Wickeep,DPS,Dex-Based,1,12,21,7,11,375,53,2
16,Wickeep,DPS,Dex-Based,1,13,21,7,12,397,55,2
17,Wickeep,DPS,Dex-Based,1,13,22,8,12,418,57,2
18,Wickeep,DPS,Dex-Based,1,13,23,9,12,440,60,2
19,Wickeep,DPS,Dex-Based,1,14,23,9,13,465,61,3
20,Wickeep,DPS,Dex-Based,1,14,24,10,13,488,64,3
21,Wickeep,DPS,Dex-Based,1,14,25,10,14,516,66,3
22,Wickeep,DPS,Dex-Based,1,15,26,10,14,539,69,3
23,Wickeep,DPS,Dex-Based,1,16,26,10,15,569,70,3
24,Wickeep,DPS,Dex-Based,1,16,28,10,15,594,74,3
25,Wickeep,DPS,Dex-Based,1,17,28,10,16,625,75,3
26,Wickeep,DPS,Dex-Based,1,18,29,11,16,651,78,3
27,Wickeep,DPS,Dex-Based,1,18,30,11,17,685,85,3
28,Wickeep,DPS,Dex-Based,1,19,31,11,17,712,88,4
29,Wickeep,DPS,Dex-Based,1,20,31,11,19,754,89,4
30,Wickeep,DPS,Dex-Based,1,21,32,11,19,784,92,4
31,Wickeep,DPS,Dex-Based,1,21,33,11,20,820,94,4
32,Wickeep,DPS,Dex-Based,1,22,34,11,20,852,97,4
33,Wickeep,DPS,Dex-Based,1,22,35,12,21,891,99,4
34,Wickeep,DPS,Dex-Based,1,23,36,12,21,924,102,4
35,Wickeep,DPS,Dex-Based,1,23,37,12,22,965,104,4
36,Wickeep,DPS,Dex-Based,1,24,38,12,22,999,106,4
37,Wickeep,DPS,Dex-Based,1,25,38,12,23,1041,108,5
38,Wickeep,DPS,Dex-Based,1,26,39,12,24,1086,110,5
39,Wickeep,DPS,Dex-Based,1,27,40,12,24,1123,120,5
40,Wickeep,DPS,Dex-Based,1,27,41,12,25,1170,122,5
41,Wickeep,DPS,Dex-Based,1,28,42,12,25,1207,125,5
42,Wickeep,DPS,Dex-Based,1,29,43,12,26,1256,127,5
43,Wickeep,DPS,Dex-Based,1,29,44,12,27,1305,130,5
44,Wickeep,DPS,Dex-Based,1,30,45,12,27,1346,132,5
45,Wickeep,DPS,Dex-Based,1,31,45,12,29,1409,134,5
46,Wickeep,DPS,Dex-Based,1,32,46,12,29,1452,136,6
47,Wickeep,DPS,Dex-Based,1,32,47,12,31,1518,139,6
48,Wickeep,DPS,Dex-Based,1,33,48,12,31,1562,141,6
49,Wickeep,DPS,Dex-Based,1,34,49,12,31,1608,144,6
50,Wickeep,DPS,Dex-Based,1,35,50,12,31,1654,155,6
51,Wickeep,DPS,Dex-Based,1,36,51,12,32,1713,158,6
52,Wickeep,DPS,Dex-Based,1,36,52,12,33,1774,160,6
53,Wickeep,DPS,Dex-Based,1,37,53,12,33,1822,163,6
54,Wickeep,DPS,Dex-Based,1,38,53,12,35,1899,164,6
55,Wickeep,DPS,Dex-Based,1,39,54,12,35,1950,167,7
56,Wickeep,DPS,Dex-Based,1,40,55,12,35,2002,169,7
57,Wickeep,DPS,Dex-Based,1,41,56,12,36,2068,172,7
58,Wickeep,DPS,Dex-Based,1,41,57,12,37,2137,174,7
59,Wickeep,DPS,Dex-Based,1,42,58,12,37,2192,177,7
60,Wickeep,DPS,Dex-Based,1,42,59,12,39,2279,179,7
61,Wickeep,DPS,Dex-Based,1,43,60,12,39,2335,193,7
62,Wickeep,DPS,Dex-Based,1,44,61,12,39,2392,195,7
63,Wickeep,DPS,Dex-Based,1,45,62,12,40,2468,198,7
64,Wickeep,DPS,Dex-Based,1,45,63,12,41,2545,200,8
65,Wickeep,DPS,Dex-Based,1,46,64,12,41,2604,203,8
66,Wickeep,DPS,Dex-Based,1,48,64,12,42,2683,204,8
67,Wickeep,DPS,Dex-Based,1,48,65,12,43,2765,207,8
68,Wickeep,DPS,Dex-Based,1,49,66,12,43,2827,209,8
69,Wickeep,DPS,Dex-Based,1,50,67,12,44,2911,211,8
70,Wickeep,DPS,Dex-Based,1,51,68,12,44,2976,214,8
71,Wickeep,DPS,Dex-Based,1,51,69,12,46,3083,216,8
72,Wickeep,DPS,Dex-Based,1,52,70,12,46,3150,232,8
73,Wickeep,DPS,Dex-Based,1,53,71,12,46,3219,234,9
74,Wickeep,DPS,Dex-Based,1,53,72,12,48,3332,237,9
75,Wickeep,DPS,Dex-Based,1,54,73,12,48,3402,239,9
76,Wickeep,DPS,Dex-Based,1,55,73,12,50,3520,241,9
77,Wickeep,DPS,Dex-Based,1,56,74,12,50,3594,243,9
78,Wickeep,DPS,Dex-Based,1,57,75,12,50,3667,246,9
79,Wickeep,DPS,Dex-Based,1,58,76,12,51,3765,248,9
80,Wickeep,DPS,Dex-Based,1,59,77,12,51,3841,251,9
81,Wickeep,DPS,Dex-Based,1,59,78,12,52,3944,253,9
82,Wickeep,DPS,Dex-Based,1,60,79,12,53,4048,256,10
83,Wickeep,DPS,Dex-Based,1,61,80,12,53,4126,273,10
84,Wickeep,DPS,Dex-Based,1,62,80,12,55,4260,275,10
85,Wickeep,DPS,Dex-Based,1,63,81,12,55,4343,277,10
86,Wickeep,DPS,Dex-Based,1,63,83,12,55,4425,281,10
87,Wickeep,DPS,Dex-Based,1,65,83,12,56,4536,282,10
88,Wickeep,DPS,Dex-Based,1,65,84,12,57,4650,285,10
89,Wickeep,DPS,Dex-Based,1,66,85,12,57,4736,287,10
90,Wickeep,DPS,Dex-Based,1,67,86,12,58,4853,290,10
91,Wickeep,DPS,Dex-Based,1,67,87,12,59,4971,292,11
92,Wickeep,DPS,Dex-Based,1,68,88,12,60,5092,295,11
93,Wickeep,DPS,Dex-Based,1,69,89,12,60,5184,297,11
94,Wickeep,DPS,Dex-Based,1,71,89,12,61,5308,299,11
95,Wickeep,DPS,Dex-Based,1,71,90,12,62,5433,318,11
96,Wickeep,DPS,Dex-Based,1,72,91,12,62,5527,321,11
97,Wickeep,DPS,Dex-Based,1,73,92,12,63,5657,323,11
98,Wickeep,DPS,Dex-Based,1,73,93,12,64,5789,326,11
99,Wickeep,DPS,Dex-Based,1,74,94,12,64,5885,328,11
100,Wickeep,DPS,Dex-Based,1,75,95,12,65,6022,331,12
1,Lunaskein,DPS / Supp,Int-Based,1,6,4,9,9,158,4,1
2,Lunaskein,DPS / Supp,Int-Based,1,6,4,10,9,170,4,1
3,Lunaskein,DPS / Supp,Int-Based,1,6,4,11,10,184,4,1
4,Lunaskein,DPS / Supp,Int-Based,1,6,4,12,10,198,4,1
5,Lunaskein,DPS / Supp,Int-Based,1,6,4,13,10,212,5,1
6,Lunaskein,DPS / Supp,Int-Based,1,6,4,14,10,226,5,1
7,Lunaskein,DPS / Supp,Int-Based,1,6,4,15,11,244,5,1
8,Lunaskein,DPS / Supp,Int-Based,1,6,4,16,11,260,6,1
9,Lunaskein,DPS / Supp,Int-Based,1,7,4,17,11,277,6,1
10,Lunaskein,DPS / Supp,Int-Based,1,7,4,18,11,294,6,2
11,Lunaskein,DPS / Supp,Int-Based,1,7,4,19,12,314,6,2
12,Lunaskein,DPS / Supp,Int-Based,1,8,4,19,13,336,7,2
13,Lunaskein,DPS / Supp,Int-Based,1,8,5,20,13,355,8,2
14,Lunaskein,DPS / Supp,Int-Based,1,9,5,21,13,376,8,2
15,Lunaskein,DPS / Supp,Int-Based,1,10,5,21,14,400,9,2
16,Lunaskein,DPS / Supp,Int-Based,1,10,6,22,14,420,9,2
17,Lunaskein,DPS / Supp,Int-Based,1,10,6,22,16,451,9,2
18,Lunaskein,DPS / Supp,Int-Based,1,11,6,23,16,473,9,2
19,Lunaskein,DPS / Supp,Int-Based,1,11,7,24,16,496,10,3
20,Lunaskein,DPS / Supp,Int-Based,1,11,7,24,18,529,10,3
21,Lunaskein,DPS / Supp,Int-Based,1,11,7,25,19,559,10,3
22,Lunaskein,DPS / Supp,Int-Based,1,11,7,26,20,590,11,3
23,Lunaskein,DPS / Supp,Int-Based,1,11,7,27,21,623,11,3
24,Lunaskein,DPS / Supp,Int-Based,1,12,7,28,21,649,11,3
25,Lunaskein,DPS / Supp,Int-Based,1,13,7,29,21,678,12,3
26,Lunaskein,DPS / Supp,Int-Based,1,13,7,31,21,707,12,3
27,Lunaskein,DPS / Supp,Int-Based,1,13,7,31,23,749,12,3
28,Lunaskein,DPS / Supp,Int-Based,1,14,7,32,23,779,12,4
29,Lunaskein,DPS / Supp,Int-Based,1,15,7,33,23,810,13,4
30,Lunaskein,DPS / Supp,Int-Based,1,15,7,33,25,856,13,4
31,Lunaskein,DPS / Supp,Int-Based,1,15,7,34,26,897,13,4
32,Lunaskein,DPS / Supp,Int-Based,1,15,7,35,27,938,14,4
33,Lunaskein,DPS / Supp,Int-Based,1,15,7,36,28,980,14,4
34,Lunaskein,DPS / Supp,Int-Based,1,15,7,37,29,1024,14,4
35,Lunaskein,DPS / Supp,Int-Based,1,16,7,38,29,1061,14,4
36,Lunaskein,DPS / Supp,Int-Based,1,16,7,40,29,1099,15,4
37,Lunaskein,DPS / Supp,Int-Based,1,16,8,41,30,1146,15,5
38,Lunaskein,DPS / Supp,Int-Based,1,16,8,42,31,1194,15,5
39,Lunaskein,DPS / Supp,Int-Based,1,17,9,42,32,1243,16,5
40,Lunaskein,DPS / Supp,Int-Based,1,18,9,43,32,1285,16,5
41,Lunaskein,DPS / Supp,Int-Based,1,18,9,44,33,1336,16,5
42,Lunaskein,DPS / Supp,Int-Based,1,18,9,45,34,1389,17,5
43,Lunaskein,DPS / Supp,Int-Based,1,20,9,46,34,1433,17,5
44,Lunaskein,DPS / Supp,Int-Based,1,20,9,47,35,1489,17,5
45,Lunaskein,DPS / Supp,Int-Based,1,20,9,48,36,1546,17,5
46,Lunaskein,DPS / Supp,Int-Based,1,21,10,49,36,1593,19,6
47,Lunaskein,DPS / Supp,Int-Based,1,21,11,50,37,1652,19,6
48,Lunaskein,DPS / Supp,Int-Based,1,21,11,51,38,1713,19,6
49,Lunaskein,DPS / Supp,Int-Based,1,23,11,51,39,1776,20,6
50,Lunaskein,DPS / Supp,Int-Based,1,23,11,52,40,1839,20,6
51,Lunaskein,DPS / Supp,Int-Based,1,23,11,53,41,1904,20,6
52,Lunaskein,DPS / Supp,Int-Based,1,24,12,54,41,1957,20,6
53,Lunaskein,DPS / Supp,Int-Based,1,24,12,55,42,2024,21,6
54,Lunaskein,DPS / Supp,Int-Based,1,24,12,56,43,2094,21,6
55,Lunaskein,DPS / Supp,Int-Based,1,25,12,57,43,2150,21,7
56,Lunaskein,DPS / Supp,Int-Based,1,25,13,58,44,2221,22,7
57,Lunaskein,DPS / Supp,Int-Based,1,27,13,58,45,2295,22,7
58,Lunaskein,DPS / Supp,Int-Based,1,27,13,59,46,2371,22,7
59,Lunaskein,DPS / Supp,Int-Based,1,27,13,61,46,2430,22,7
60,Lunaskein,DPS / Supp,Int-Based,1,29,13,61,47,2509,23,7
61,Lunaskein,DPS / Supp,Int-Based,1,29,13,62,48,2588,23,7
62,Lunaskein,DPS / Supp,Int-Based,1,29,14,63,49,2668,23,7
63,Lunaskein,DPS / Supp,Int-Based,1,29,14,64,50,2752,24,7
64,Lunaskein,DPS / Supp,Int-Based,1,31,14,65,50,2817,24,8
65,Lunaskein,DPS / Supp,Int-Based,1,31,14,66,51,2903,24,8
66,Lunaskein,DPS / Supp,Int-Based,1,31,14,67,52,2989,25,8
67,Lunaskein,DPS / Supp,Int-Based,1,31,15,68,53,3079,26,8
68,Lunaskein,DPS / Supp,Int-Based,1,32,16,69,53,3148,26,8
69,Lunaskein,DPS / Supp,Int-Based,1,32,16,70,54,3241,26,8
70,Lunaskein,DPS / Supp,Int-Based,1,34,16,70,55,3335,27,8
71,Lunaskein,DPS / Supp,Int-Based,1,34,16,71,56,3430,27,8
72,Lunaskein,DPS / Supp,Int-Based,1,34,17,72,57,3527,27,8
73,Lunaskein,DPS / Supp,Int-Based,1,35,18,73,57,3603,28,9
74,Lunaskein,DPS / Supp,Int-Based,1,35,18,74,58,3703,28,9
75,Lunaskein,DPS / Supp,Int-Based,1,35,18,75,59,3806,28,9
76,Lunaskein,DPS / Supp,Int-Based,1,37,18,76,59,3885,28,9
77,Lunaskein,DPS / Supp,Int-Based,1,37,19,77,60,3990,29,9
78,Lunaskein,DPS / Supp,Int-Based,1,37,19,78,61,4097,29,9
79,Lunaskein,DPS / Supp,Int-Based,1,39,19,78,62,4207,29,9
80,Lunaskein,DPS / Supp,Int-Based,1,39,20,79,63,4317,31,9
81,Lunaskein,DPS / Supp,Int-Based,1,39,20,80,64,4429,31,9
82,Lunaskein,DPS / Supp,Int-Based,1,41,20,81,64,4516,31,10
83,Lunaskein,DPS / Supp,Int-Based,1,41,21,82,65,4633,32,10
84,Lunaskein,DPS / Supp,Int-Based,1,41,21,83,66,4750,32,10
85,Lunaskein,DPS / Supp,Int-Based,1,41,21,84,67,4871,32,10
86,Lunaskein,DPS / Supp,Int-Based,1,43,21,85,67,4963,32,10
87,Lunaskein,DPS / Supp,Int-Based,1,43,21,86,68,5087,33,10
88,Lunaskein,DPS / Supp,Int-Based,1,43,22,87,69,5211,33,10
89,Lunaskein,DPS / Supp,Int-Based,1,43,22,88,70,5339,33,10
90,Lunaskein,DPS / Supp,Int-Based,1,45,22,88,71,5468,34,10
91,Lunaskein,DPS / Supp,Int-Based,1,45,23,89,72,5600,34,11
92,Lunaskein,DPS / Supp,Int-Based,1,45,23,91,72,5700,34,11
93,Lunaskein,DPS / Supp,Int-Based,1,47,23,91,73,5835,34,11
94,Lunaskein,DPS / Supp,Int-Based,1,47,23,92,74,5971,35,11
95,Lunaskein,DPS / Supp,Int-Based,1,47,23,93,75,6111,35,11
96,Lunaskein,DPS / Supp,Int-Based,1,47,24,94,76,6253,35,11
97,Lunaskein,DPS / Supp,Int-Based,1,49,24,95,76,6360,36,11
98,Lunaskein,DPS / Supp,Int-Based,1,49,24,96,77,6504,36,11
99,Lunaskein,DPS / Supp,Int-Based,1,49,24,97,78,6651,36,11
100,Lunaskein,DPS / Supp,Int-Based,1,50,24,98,79,6802,37,12
1,Slagjaw,Tank,Strength-based,9,2,6,3,9,207,18,4
2,Slagjaw,Tank,Strength-based,9,2,6,3,10,233,19,4
3,Slagjaw,Tank,Strength-based,10,2,6,3,11,261,22,4
4,Slagjaw,Tank,Strength-based,10,2,6,3,12,292,23,4
5,Slagjaw,Tank,Strength-based,10,2,6,3,13,324,24,5
6,Slagjaw,Tank,Strength-based,11,2,7,3,13,354,27,5
7,Slagjaw,Tank,Strength-based,11,2,7,3,14,389,28,5
8,Slagjaw,Tank,Strength-based,12,2,8,3,14,422,30,6
9,Slagjaw,Tank,Strength-based,12,2,8,3,15,462,31,6
10,Slagjaw,Tank,Strength-based,12,2,9,3,16,502,33,6
11,Slagjaw,Tank,Strength-based,13,2,10,3,16,539,36,7
12,Slagjaw,Tank,Strength-based,13,3,10,3,17,582,37,7
13,Slagjaw,Tank,Strength-based,14,3,11,3,17,623,39,7
14,Slagjaw,Tank,Strength-based,14,3,11,4,18,670,41,8
15,Slagjaw,Tank,Strength-based,14,4,11,4,19,719,42,8
16,Slagjaw,Tank,Strength-based,15,4,11,4,20,770,44,8
17,Slagjaw,Tank,Strength-based,16,4,11,4,21,824,46,9
18,Slagjaw,Tank,Strength-based,18,4,11,4,21,872,49,9
19,Slagjaw,Tank,Strength-based,18,4,11,5,22,928,51,9
20,Slagjaw,Tank,Strength-based,18,5,11,5,23,987,52,10
21,Slagjaw,Tank,Strength-based,19,5,12,5,23,1040,54,10
22,Slagjaw,Tank,Strength-based,20,5,12,5,24,1103,59,10
23,Slagjaw,Tank,Strength-based,21,5,12,5,25,1168,62,11
24,Slagjaw,Tank,Strength-based,21,5,13,5,26,1236,63,11
25,Slagjaw,Tank,Strength-based,22,5,13,5,27,1305,65,11
26,Slagjaw,Tank,Strength-based,22,5,14,5,28,1377,66,12
27,Slagjaw,Tank,Strength-based,23,5,14,5,29,1451,69,12
28,Slagjaw,Tank,Strength-based,24,5,15,6,29,1515,72,12
29,Slagjaw,Tank,Strength-based,24,5,15,6,31,1606,73,13
30,Slagjaw,Tank,Strength-based,25,5,16,6,31,1674,75,13
31,Slagjaw,Tank,Strength-based,26,5,16,6,32,1758,77,13
32,Slagjaw,Tank,Strength-based,26,6,17,6,33,1843,79,14
33,Slagjaw,Tank,Strength-based,27,6,17,6,34,1930,81,14
34,Slagjaw,Tank,Strength-based,28,6,18,7,34,2007,83,14
35,Slagjaw,Tank,Strength-based,29,6,18,7,35,2099,85,14
36,Slagjaw,Tank,Strength-based,29,7,19,7,36,2195,87,15
37,Slagjaw,Tank,Strength-based,30,7,19,7,37,2293,94,15
38,Slagjaw,Tank,Strength-based,31,7,21,7,37,2375,97,15
39,Slagjaw,Tank,Strength-based,31,7,21,7,39,2496,98,16
40,Slagjaw,Tank,Strength-based,32,7,21,7,40,2602,101,16
41,Slagjaw,Tank,Strength-based,33,7,21,8,41,2711,103,16
42,Slagjaw,Tank,Strength-based,34,8,22,8,41,2803,105,17
43,Slagjaw,Tank,Strength-based,35,8,22,8,42,2915,107,17
44,Slagjaw,Tank,Strength-based,35,8,23,8,43,3031,108,17
45,Slagjaw,Tank,Strength-based,36,8,23,8,44,3152,111,18
46,Slagjaw,Tank,Strength-based,37,8,25,8,44,3251,114,18
47,Slagjaw,Tank,Strength-based,38,8,25,8,45,3375,116,18
48,Slagjaw,Tank,Strength-based,38,8,25,8,47,3526,117,19
49,Slagjaw,Tank,Strength-based,39,8,27,8,47,3632,120,19
50,Slagjaw,Tank,Strength-based,40,8,27,8,48,3765,129,19
51,Slagjaw,Tank,Strength-based,41,8,27,9,49,3902,131,20
52,Slagjaw,Tank,Strength-based,42,9,27,9,50,4041,133,20
53,Slagjaw,Tank,Strength-based,42,9,28,10,51,4184,135,20
54,Slagjaw,Tank,Strength-based,43,9,28,10,52,4328,137,21
55,Slagjaw,Tank,Strength-based,43,10,29,10,53,4478,138,21
56,Slagjaw,Tank,Strength-based,44,10,29,11,54,4629,140,21
57,Slagjaw,Tank,Strength-based,45,10,31,11,54,4753,144,22
58,Slagjaw,Tank,Strength-based,46,10,31,11,55,4911,146,22
59,Slagjaw,Tank,Strength-based,47,11,31,11,56,5071,148,22
60,Slagjaw,Tank,Strength-based,47,11,32,11,57,5235,149,23
61,Slagjaw,Tank,Strength-based,48,11,32,12,58,5403,151,23
62,Slagjaw,Tank,Strength-based,49,12,32,12,59,5574,154,23
63,Slagjaw,Tank,Strength-based,49,12,33,13,60,5748,155,24
64,Slagjaw,Tank,Strength-based,50,12,33,13,61,5926,166,24
65,Slagjaw,Tank,Strength-based,51,12,35,13,61,6069,169,24
66,Slagjaw,Tank,Strength-based,52,12,35,13,62,6253,172,25
67,Slagjaw,Tank,Strength-based,53,12,35,14,63,6440,174,25
68,Slagjaw,Tank,Strength-based,53,12,36,14,64,6630,175,25
69,Slagjaw,Tank,Strength-based,54,12,36,14,65,6826,177,25
70,Slagjaw,Tank,Strength-based,55,12,37,14,66,7023,180,26
71,Slagjaw,Tank,Strength-based,56,12,37,14,67,7224,182,26
72,Slagjaw,Tank,Strength-based,56,12,39,14,68,7430,183,26
73,Slagjaw,Tank,Strength-based,57,12,39,14,69,7638,185,27
74,Slagjaw,Tank,Strength-based,58,12,40,14,70,7852,188,27
75,Slagjaw,Tank,Strength-based,59,12,40,14,71,8067,191,27
76,Slagjaw,Tank,Strength-based,60,12,40,14,72,8288,204,28
77,Slagjaw,Tank,Strength-based,61,12,41,14,73,8513,206,28
