Equipment,Stats,Effect,Requirements,Who drops it
Faultglass Edge,ATK +115; DEX +3; HIT +5,"Your primary physical hits deal 35% more damage to shield capacity, but 5% less damage to HP. For a hit that breaks a shield, apply each modifier only to its corresponding portion.",Slot: Weapon (Sword); Classes: Knight; Minimum level: 25,Shardclaw
Rib Halo,MATK +20; DEF +3; VIT +2,"Start with three Ribs. An enemy basic hit consumes one Rib to reduce that hit by 20%; after all three are spent, gain MATK +15 for the rest of battle.",Slot: Off-hand (Focus); Classes: Mage / Druid; Minimum level: 20,Hornvault
Bloom-Shelf Crook,MATK +60; INT +3,"A damaging active that hits stores one Bud, maximum two. Your next active heal consumes all Buds, adding 0.25 x your MATK per Bud to its primary recipient. Item healing creates no new Buds.",Slot: Weapon (Staff); Classes: Druid; Minimum level: 20,Lilydeer
Folded Dreamcap,DEF +2; MDEF +3; INT +2; Max HP +100,None,Slot: Head (Hat); Classes: All; Minimum level: 5,Pillowisp
Root-Mitten Sabatons,DEF +4; VIT +3,"After your normal target has remained the same for 3s, take 10% less direct damage from that enemy. Losing that target on death resets the timer; temporary taunts do not.",Slot: Feet (Boots); Classes: Knight / Druid; Minimum level: 15,Burrowlug
Greatarm Maul,ATK +140; STR +4; HIT -8,"Your basic attack rate is 15% lower, but the primary damage of each basic is 25% higher. Bonus hits from talents or equipment do not receive this damage increase.",Slot: Weapon (Hammer); Classes: Knight; Minimum level: 35,Cairnox
Pebblepaw Buckler,DEF +5; VIT +2; HIT +8,"While you and at least one core monster share the same normal target, your basic attacks against that enemy gain +10 HIT and you take 6% less direct damage from it.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 5,Pebblepup
Bonfire Mane,DEF +3; STR +3; DEX +2,"Once per battle, when your current normal target is first observed below 50% HP, gain 18% basic attack rate for 3s. The trigger works without any enemy death.",Slot: Head (Helm); Classes: Knight / Hunter; Minimum level: 30,Pyreling
Rainvault Vessel,MATK +18; MDEF +4; VIT +3,"Store 20% of overhealing from your active heals, capped at 0.80 x your MATK. Your next active shield spends the store as added capacity on its primary recipient only.",Slot: Off-hand (Totem); Classes: Druid; Minimum level: 30,Pluvault
Silver-Current Bow,ATK +110; DEX +3; HIT +10,Three consecutive landed basics prime your next damaging active for +0.40 x your ATK physical damage to its primary target. A miss resets only the uncompleted count; one stored charge.,Slot: Weapon (Bow); Classes: Hunter; Minimum level: 20,Rillblade
Splitseed Quiver,ATK +15; DEX +3,"Start with three Seeds. Each of your first three landed basic attacks consumes one to add 0.25 x your ATK physical damage. A genuine death-based target switch restores one Seed, up to the initial cap.",Slot: Off-hand (Quiver); Classes: Hunter; Minimum level: 10,Seedskit
Knucklebone Locket,VIT +3; Max HP +120,Receiving effective healing equal to at least 4% of your maximum HP within 2s empowers your next damaging active for +0.30 x its primary ATK or MATK scaling stat. One charge; 4s trigger cooldown.,Slot: Accessory (Locket); Classes: All; Minimum level: 15,Rattlebit
Stormpaw Hammer,ATK +120; VIT +3,"After surviving one enemy hit that removes at least 7% of your maximum HP, your next damaging active within 4s adds 0.45 x your ATK physical damage to its primary target. One charge; 4s trigger cooldown.",Slot: Weapon (Hammer); Classes: Knight; Minimum level: 25,Squallcub
Mismatched-Pin Quiver,ATK +12; DEX +3; HIT +8,Your damaging actives Stitch their primary enemy for 3s. The first landed primary hit from each core monster against that Stitch adds 0.15 x your ATK physical damage. At most two added hits per Stitch; 4s application cooldown.,Slot: Off-hand (Quiver); Classes: Hunter; Minimum level: 25,Pinstitch
Thornjaw Blade,ATK +110; VIT +4,"An enemy basic hit against you primes your next landed basic against that same enemy within 3s for +0.25 x your ATK physical damage. One charge; a different attacker replaces its target, not its amount.",Slot: Weapon (Sword); Classes: Knight; Minimum level: 30,Thornmaw
Amber-Rib Focus,MATK +25; DEX +2,"If the target of one of your delayed damaging actives dies before impact, transfer that unresolved primary hit once to your next legal normal target at 60% damage. It does not transfer casts, control, or execute effects.",Slot: Off-hand (Focus); Classes: Mage; Minimum level: 30,Amberkite
Quarry Brow,DEF +4; DEX +2; HIT +12,None,Slot: Head (Helm); Classes: Knight / Hunter; Minimum level: 10,Cragbeak
Sleeping Gong,DEF +7; MDEF +3; INT +2,Every third enemy direct hit against you stores a Note; a single attack cycle counts once. Your next defensive active consumes it to shield the most injured core monster for 3% of your maximum HP for 3s. One Note maximum.,Slot: Off-hand (Shield); Classes: Knight; Minimum level: 25,Gonglet
Glasswing Scepter,MATK +70; INT +3; VIT -3,"While above 85% HP, your primary magic active hits deal 15% more damage. The bonus ends immediately when your HP falls to 85% or lower; secondary splash is unchanged.",Slot: Weapon (Staff); Classes: Mage; Minimum level: 40,Glassphoenix
Veil-Needle Bow,ATK +115; DEX +2,Your primary physical hits against targets above 80% HP ignore 8 percentage points of hard physical mitigation. Targets at or below 80% HP receive no penetration from this item.,Slot: Weapon (Bow); Classes: Hunter; Minimum level: 15,Veilheron
Honeythroat Pendant,INT +3; Max HP +100,"After you effectively heal a core monster with an active, its next active shield within 3s also grants that shield's primary core-ally recipient +15 HIT for 3s. One stored charge per monster; secondary shields do not repeat the bonus.",Slot: Accessory (Pendant); Classes: All; Minimum level: 20,Honeylark
Silent Feather Mask,DEF +3; MDEF +3; DEX +2,Hitting an enemy with a damaging active within 1s after that enemy casts an active weakens its next damaging active by 12% for up to 4s. Reapplications refresh; 4s trigger cooldown.,Slot: Head (Mask); Classes: All; Minimum level: 25,Hushowl
Crescent-Membrane Bow,ATK +105; AGI +4,"Your basic attacks deal 8% less primary damage, but a landed basic against a bleeding enemy has +20 HIT and deals 18% more primary damage. The accuracy bonus is checked before the hit roll.",Slot: Weapon (Bow); Classes: Hunter; Minimum level: 30,Razorwing
Chevrontail Spurs,DEF +2; AGI +3; DEX +2,"After your normal target dies, your first basic against its genuine replacement gains +30 HIT. If it lands, reduce the remaining cooldown of your longest-cooldown active by 0.50s. At most once per 4s; taunts and decoys do not activate it.",Slot: Feet (Boots); Classes: Hunter; Minimum level: 20,Snipstream
Held Pebble,VIT +2; Max HP +180,"At battle start, the core monster with the lowest maximum HP gains a shield equal to 4% of your maximum HP for 4s. This never shields the trainer.",Slot: Accessory (Charm); Classes: All; Minimum level: 5,Keepsake
Anchored Talons,DEF +3; STR +2; DEX +2; HIT +5,"After two consecutive personal basic attacks against the same enemy, your next basic against it deals 15% more primary damage, then resets the count. Any miss or genuine normal-target change resets the count.",Slot: Feet (Boots); Classes: Knight / Hunter; Minimum level: 25,Hopgrit
Stormcap Wand,MATK +55; DEX +4,Your damaging actives mark their primary target for 3s. The first enemy active cast while marked triggers 0.35 x your MATK magic damage against it. One detonation per mark; 4s application cooldown.,Slot: Weapon (Wand); Classes: Mage; Minimum level: 25,Tempestool
Windlass Bearing,AGI +3; VIT +2,"After using all three different active slots, your next three basic attacks have 20% higher attack rate. A new completion refreshes remaining attacks up to three rather than stacking the bonus.",Slot: Accessory (Ring); Classes: All; Minimum level: 30,Windlass
Sixfold-Pinion Bow,ATK +110; AGI +3; DEX +3,Every third landed basic splashes 25% of its pre-mitigation primary physical damage onto up to two other enemies within one melee-reach distance of the target. Extra enemies take separate mitigation; no extra hits against a lone boss.,Slot: Weapon (Bow); Classes: Hunter; Minimum level: 45,Tempestrook
Velvet Earwing Cloak,DEF +5; MDEF +5; AGI +3,"Take 12% less direct damage from enemies that are not your current normal target, but 5% more direct damage from that target. Damage over time is unchanged.",Slot: Body (Cloak); Classes: Mage / Hunter; Minimum level: 25,Velvimp
Throat-Bowl Totem,MATK +15; INT +2; VIT +2,"A direct active heal on another core ally that restores HP also heals you for 20% of that HP restored, capped at 2% of your maximum HP per cast. Healing yourself or a summon does not trigger it.",Slot: Off-hand (Totem); Classes: Druid; Minimum level: 10,Brooktoad
Twin-Vent Bow,ATK +100; AGI +4; HIT +6,Your damaging active's primary hit adds a 3s burn dealing a total of 0.30 x your ATK as physical damage. One burn from this item per target; reapplying refreshes its duration without an extra initial tick.,Slot: Weapon (Bow); Classes: Hunter; Minimum level: 20,Puffiend
Kilnheart Focus,MATK +18; DEF +4; VIT +3,"Store 15% of enemy damage absorbed by shields you created, up to 0.60 x your MATK. Your next damaging active consumes it as extra magic damage on its primary target. Item-generated shields do not refill this store.",Slot: Off-hand (Focus); Classes: Mage / Druid; Minimum level: 35,Crucibulk
Constellation Lens,MATK +28; INT +2; HIT +5,None,Slot: Off-hand (Focus); Classes: Mage; Minimum level: 15,Starfrog
Ribbon-Gill Staff,MATK +55; INT +3; VIT +3,Alternating between a damaging active and a purely non-damaging active grants the next landed basic +0.30 x your MATK magic damage. One stored charge; repeating the same category grants nothing.,Slot: Weapon (Staff); Classes: Druid / Mage; Minimum level: 35,Auroradrake
Broodmother Crest,DEF +3; VIT +3,The first creature summoned by each of your two core monsters gains +20% maximum HP for that creature's lifetime. At most one creature per core monster per battle; structures and the trainer's summons are excluded.,Slot: Head (Circlet); Classes: All; Minimum level: 35,Cindertroop
Fourleaf Shell,DEF +5; AGI +4; FLEE +10,"Evading an enemy basic through normal FLEE grants a 3% maximum-HP self-shield for 2s. At most once per 3s; blocks, invulnerability, and missed active skills do not trigger it.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 20,Cloverguard
Branching Spurs,DEF +3; AGI +3; HIT +10,None,Slot: Feet (Boots); Classes: Knight / Hunter; Minimum level: 10,Reefvault
Soulflame Wick,INT +3; DEX +2,Your first damaging active after one of your own self-shields is broken by enemy damage deals 18% more primary damage. Charge lasts 4s; one charge maximum; shield expiration does not trigger it.,Slot: Accessory (Charm); Classes: All; Minimum level: 30,Cinderwink
Closed-Bud Blade,ATK +105; AGI +3; HIT +8,"After you use a defensive active, your next two landed basics within 3s add 0.15 x your ATK physical damage each. Reapplying sets charges to two instead of adding more.",Slot: Weapon (Sword); Classes: Knight; Minimum level: 20,Leafmantis
Lantern Hood,DEF +2; MDEF +3; INT +2,"Core allies you shield with an active gain +15 HIT for as long as that shield remains, up to 3s. Reapplications refresh, and summons do not receive this bonus.",Slot: Head (Hood); Classes: All; Minimum level: 15,Lumimoth
False-Torso Mirror,MATK +15; DEF +4; FLEE +8,The first enemy basic hit received within 2s after you cast a purely non-damaging active is reduced by 25%. One charge; 4s grant cooldown. This does not reflect damage or redirect the attack.,Slot: Off-hand (Focus); Classes: Mage; Minimum level: 30,Mirrormantis
Triune Crystal Bow,ATK +108; DEX +4; CRIT +4,"If your two core monsters each landed a primary hit on your current enemy within the last 2s, your next damaging active against it gains +20 HIT and 15% more primary damage. At most once per 4s.",Slot: Weapon (Bow); Classes: Hunter; Minimum level: 35,Prismspear
Amber-Tower Cuirass,DEF +12; VIT +4; MDEF +2,"Take 15% less primary damage from enemy ranged basic attacks, but 8% more primary damage from melee basic attacks. Active skills are unchanged.",Slot: Body (Plate); Classes: Knight; Minimum level: 35,Resinrook
Saffron-Root Staff,MATK +52; INT +4,"After you cast all three active slots, your next direct active heal also grants its primary recipient +12% primary active-skill damage for 3s. One stored charge; secondary healing does not carry the buff.",Slot: Weapon (Staff); Classes: Druid; Minimum level: 25,Saffrune
Charcoal Segments,DEF +9; VIT +2,"Take 25% less burn damage, but 10% more poison damage. Direct fire-like attacks are not burns unless explicitly tagged as damage over time.",Slot: Body (Armor); Classes: Knight / Hunter; Minimum level: 15,Coalgrub
Sunwheel Circlet,DEF +3; INT +2; VIT +2,The first active shield you apply in battle also gives its primary core-ally recipient 15% resistance to damage-over-time effects for 5s. The resistance persists if the shield breaks.,Slot: Head (Circlet); Classes: All; Minimum level: 25,Sunscarab
Drumback Hammer,ATK +125; STR +3,Every third personal active grants both core monsters +10% basic attack rate for 2s. The grant happens after the active resolves; additional or echoed hits are not casts.,Slot: Weapon (Hammer); Classes: Knight; Minimum level: 30,Brontobug
Mourning Mantle,DEF +5; MDEF +6; INT +3,"Your healing and shielding actives are 12% weaker on their primary recipient, but your damaging actives deal 15% more primary magic damage to enemies suffering a debuff you applied. Secondary targets are unchanged.",Slot: Body (Robe); Classes: Mage / Druid; Minimum level: 30,Mournmantle
Three-Hole Reed,DEX +2; INT +2; HIT +8,"After you land three basic attacks, your next active heal or shield also gives its primary core-ally recipient +12% basic attack rate for 3s. One stored charge; the attacks may be against different enemies.",Slot: Accessory (Instrument); Classes: All; Minimum level: 15,Whistlepod
Crescent Loom Robe,DEF +6; MDEF +3; INT +3,Enemies inside a persistent zone you personally created deal 10% less primary basic-attack damage to you. Does not affect their attacks against allies or zones created by monsters.,Slot: Body (Robe); Classes: Mage / Druid; Minimum level: 35,Moonweaver
Pearl-Spool Quiver,ATK +14; DEX +3; VIT +2,"A landed critical basic grants a self-shield equal to 15% of that basic's actual HP damage, capped at 3% of your maximum HP, for 2s. At most once per 2s; reflected and bonus hits are excluded.",Slot: Off-hand (Quiver); Classes: Hunter; Minimum level: 30,Pearlweaver
Springbone Slippers,DEF +2; AGI +4; FLEE +8,"When your last personal shield expires naturally with unused capacity, gain +20 FLEE for 3s. Being broken or dispelled does not trigger it; 4s cooldown.",Slot: Feet (Boots); Classes: Hunter / Mage; Minimum level: 20,Silkstep
Grinning Root Cudgel,ATK +90; MATK +30; STR +3; INT +2,"Your first landed basic after a direct active heal adds 0.35 x your MATK magic damage. One charge, lasting 3s; the physical basic's own damage is unchanged.",Slot: Weapon (Cudgel); Classes: Druid; Minimum level: 20,Grinroot
Airsac Waders,DEF +2; MDEF +4; VIT +3,Take 18% less secondary splash damage from enemy actives. Primary-target damage and ordinary single-target attacks are unchanged.,Slot: Feet (Boots); Classes: Mage / Druid; Minimum level: 20,Cloudfin
Six-Spine Shield,DEF +8; VIT +3,"After two basic hits from the same enemy within 2s, your next landed basic against that enemy adds 0.35 x your ATK physical damage and reduces its healing received by 15% for 3s. One charge, lasting 3s; 4s trigger cooldown.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 30,Hexurchin
Dewloop Ring,INT +2; VIT +2; MDEF +2,"When your direct active heal restores HP to a different core ally than your previous direct heal, grant that recipient +15 HIT for 3s. The first heal establishes the previous target without granting the buff.",Slot: Accessory (Ring); Classes: All; Minimum level: 20,Dewloop
Tilted Jellycap,DEF +2; MDEF +4; VIT +2,"After surviving a direct critical hit, take 25% less damage from the next direct critical hit within 4s. One charge; 6s trigger cooldown; noncritical hits do not consume it.",Slot: Head (Hat); Classes: All; Minimum level: 20,Driftjelly
Prismatic Claw Crossbow,ATK +140; DEX +3; AGI -3,"Your basic attacks deal 20% more primary damage, but your basic attack rate is 12% lower. Your first damaging active against each genuine normal target gains +20 HIT.",Slot: Weapon (Crossbow); Classes: Hunter; Minimum level: 40,Snapglass
Mourner-Kite Shroud,DEF +5; MDEF +4; INT +4,"When your current enemy receives effective healing, store 15% of that healing, capped at 0.60 x your MATK. Your next damaging active against that enemy spends it as extra magic damage. The store is lost when that enemy dies.",Slot: Body (Robe); Classes: Mage; Minimum level: 30,Kiteskulk
Lotuswing Vestment,DEF +6; MDEF +4; INT +2,"After an enemy active damages HP on at least two core allies, your next direct active heal within 4s duplicates 25% of its effective healing onto the most injured other core ally. One charge; 5s trigger cooldown.",Slot: Body (Robe); Classes: Druid / Mage; Minimum level: 25,Lotusmanta
Hollow-Mist Cloak,DEF +4; AGI +3; FLEE +12,Take 12% less direct physical damage and 10% more direct magic damage. Neither modifier affects damage over time.,Slot: Body (Cloak); Classes: Hunter / Mage; Minimum level: 25,Mistmelt
Shale Arch Greaves,DEF +4; VIT +3; STR +2,"After receiving primary hits from two different enemies within 2s, gain a shield worth 4% of your maximum HP for 3s. At most once per 5s; repeated hits from a single boss do not satisfy both sources.",Slot: Feet (Greaves); Classes: Knight; Minimum level: 25,Cairnclamp
Paddle-Mitt Boots,DEF +3; VIT +2; INT +2,"After you effectively heal another core ally with an active, your next two landed basics gain +15 HIT. Charges expire after 3s and refresh to two rather than stack.",Slot: Feet (Boots); Classes: Druid / Knight; Minimum level: 15,Tideotter
Bonehand Veil,DEF +2; MDEF +4; INT +3,"When an active shield you created on a core ally is broken by enemy damage, your next purely non-damaging active also shields you for 0.30 x your MATK for 3s. One charge, lasting 4s; 4s trigger cooldown.",Slot: Head (Veil); Classes: Mage / Druid; Minimum level: 30,Veilora
Forked Ash Crest,DEF +3; DEX +3; CRIT +4,Your first landed critical basic against an enemy reduces its FLEE by 20 for 3s. Once per enemy per battle; it does not reduce resistance to magic.,Slot: Head (Helm); Classes: Knight / Hunter; Minimum level: 25,Ashbasilisk
Basalt Leafcoat,DEF +8; VIT +3,"Take 20% less damage over time, but 8% more primary damage from enemy direct active hits. Basic attacks are unchanged.",Slot: Body (Coat); Classes: All; Minimum level: 15,Slagbud
Empress Fan-Crown,DEF +3; MATK +12; INT +3,"After three personal active casts, your next damaging active gains 15% primary magic damage and grants you a 3% maximum-HP shield for 2s. One stored charge; the empowered cast starts a new three-cast count.",Slot: Head (Circlet); Classes: Mage; Minimum level: 40,Cinderempress
Ashblade Skates,DEF +2; AGI +3; DEX +3,Using all three different active slots reduces the remaining cooldown of your longest-cooldown equipped active by 0.75s. At most once per 6s; cannot bank a refund or grant a bonus cast.,Slot: Feet (Boots); Classes: Hunter / Mage; Minimum level: 30,Ashskate
Skullwheel Bearing,AGI +3; VIT +2,Alternate landed basics: the first deals 12% more primary damage; the second grants a 2% maximum-HP self-shield for 2s. Misses and active skills do not advance the alternation; item shields refresh rather than add.,Slot: Accessory (Ring); Classes: All; Minimum level: 25,Ribwhirl
Hooked-Frond Bow,ATK +100; DEX +2; HIT +12,"After a normal basic misses, your next basic gains +35 HIT and, if it lands, +0.20 x your ATK physical damage. An empowered miss cannot recharge the item.",Slot: Weapon (Bow); Classes: Hunter; Minimum level: 10,Ferncoil
Stern Shell,DEF +8; VIT +4; AGI -2,"Once every 4s, reduce the next enemy primary basic hit by 25%. The protection is ready at battle start; enemy active skills do not consume it.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 20,Ironback
Loose Slag Ring,DEX +2; VIT +2; CRIT +3,"When enemy damage breaks your last personal shield, your next landed basic within 3s gains +30 percentage points of critical chance. One stored charge; 4s trigger cooldown; chance is capped at 100%.",Slot: Accessory (Ring); Classes: All; Minimum level: 25,Moltencoil
Steam-Gill Circlet,DEF +2; MDEF +4; INT +3,Successfully cleansing at least one harmful effect gives the primary recipient 20% resistance to reapplication duration of that same effect category for 4s. Choose the first cleansed effect in the skill's cleanse order; no benefit on an empty cleanse.,Slot: Head (Circlet); Classes: Druid; Minimum level: 25,Steamaxolotl
Tidecrown's Orbiting Shell,DEF +7; MDEF +3; VIT +4,"When enemy damage breaks your last personal shield, the next self-shield you create with an active within 4s has 35% more capacity. One stored charge; 6s trigger cooldown. Expiration and dispelling do not trigger it.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 35,Tidecrown
Hollow-Trunk Staff,MATK +50; VIT +5; INT +2,"Your active heals cast on allies below 50% HP apply 80% of their healing immediately and the remaining 20% after 1s. If that ally survives until the delayed portion, add 0.30 x your MATK to it. One pending delayed portion per ally; a new cast resolves the old unboosted remainder immediately.",Slot: Weapon (Staff); Classes: Druid; Minimum level: 35,Elderroot
Bloomjaw Staff,MATK +60; INT +3,"Your first damaging active against each genuine normal target plants Pollen for 4s. After three additional personal primary hits against it, consume Pollen for 0.45 x your MATK magic damage. No new Pollen on that enemy this battle.",Slot: Weapon (Staff); Classes: Mage; Minimum level: 30,Emberorchid
Hovering Nightcap,DEF +2; MDEF +3; INT +3,"When you apply a delayed active heal to a core ally, shield that ally for 0.20 x your MATK until the heal resolves, up to 3s. One shield per ally; repeating does not add capacity.",Slot: Head (Hat); Classes: Mage / Druid; Minimum level: 15,Glowcap
Ivory-Rosette Brooch,INT +3; VIT +2,"Your direct active heals on a core ally below 35% HP also remove one damage-over-time effect, selecting the one with the highest next-tick damage. At most once per 6s; does not remove control effects.",Slot: Accessory (Brooch); Classes: All; Minimum level: 30,Marigloom
Seedling Treads,DEF +3; VIT +3; Max HP +100,"After enemy hits cumulatively remove 15% of your maximum HP, your next self-heal from an active restores an extra 3% of your maximum HP. One charge, lasting 5s; redirected damage and self-costs do not count.",Slot: Feet (Boots); Classes: Druid / Knight; Minimum level: 20,Mossling
Pinwheel Quiver,ATK +12; DEX +3; INT +2,"After either core monster lands a primary magic hit on your current target, your next landed basic against it adds 0.20 x your ATK physical damage. One stored charge, lasting 3s; 2s grant cooldown shared by both monsters.",Slot: Off-hand (Quiver); Classes: Hunter; Minimum level: 30,Skycorolla
Heartamber Plate,DEF +11; VIT +4; Max HP +200,"Once per battle, reduce the portion of a pending direct enemy hit that would remove more than 12% of your maximum HP by 30%. The prevented amount is capped at 5% of your maximum HP; a sufficiently large hit can still kill you.",Slot: Body (Plate); Classes: Knight; Minimum level: 40,Ambercolossus
Closed-Bud Core,VIT +3; INT +2,"Once per battle, after surviving a hit that leaves you below 40% HP, shield both core monsters for 4% of your maximum HP for 3s. It does not shield or revive you.",Slot: Accessory (Charm); Classes: All; Minimum level: 25,Bloomslime
Faceless Bell,INT +3; DEX +2,"When one core monster casts an active and the other casts a different active within 1s, your next active within 4s gains 10% more primary damage, healing, or shielding. One charge; 5s trigger cooldown. Summon deployment and copied effects are excluded.",Slot: Accessory (Bell); Classes: All; Minimum level: 35,Echochime
Inkfold Shoes,DEF +2; AGI +3; FLEE +10,"After your primary active hit applies a HIT-reducing debuff, gain +20 FLEE for 2s. A refresh counts, but the item can activate only once every 4s.",Slot: Feet (Boots); Classes: Hunter; Minimum level: 15,Inksprite
Jawbone Pavise,DEF +8; VIT +3; STR +2,"Once per battle, after one core monster dies while you remain alive, reduce your incoming direct damage by 20% for 3s. Temporary summons never trigger it; it cannot reverse trainer defeat.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 30,Cairnkin
Gentle Coffin Lid,DEF +4; MDEF +7; VIT +2,"The first enemy magical active that hits you grants a shield worth 0.35 x your ATK for 3s after the hit, provided you survive. Later magical actives do not repeat it.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 25,Casketot
Overlapping Kilnsteps,DEF +4; VIT +3; HIT +5,"After one enemy damages you with a direct hit, subsequent direct hits from that same enemy deal 8% less damage for 2s. A hit from another enemy replaces the remembered attacker.",Slot: Feet (Greaves); Classes: Knight; Minimum level: 30,Kilncoil
Third Smile,STR +2; DEX +2; INT +2,The third different active slot you use grants its primary recipient a secondary benefit: a damage skill reduces that enemy's healing received by 15% for 3s; a heal or shield grants that ally +15 HIT for 3s. Then reset the slot count. Deployment-only skills count but grant neither benefit.,Slot: Accessory (Mask Charm); Classes: All; Minimum level: 35,Maskin
Reverse-Spiral Boots,DEF +4; VIT +2; CRIT +3,"After surviving a direct critical hit, your next damaging active within 4s gains 15% primary physical damage. One charge; 4s trigger cooldown; it does not guarantee a critical hit.",Slot: Feet (Boots); Classes: Knight / Hunter; Minimum level: 20,Shellsnail
