Item,Effect,Who drops it,Restrictions,Class
Remembered Stone,"At battle start, bind to the other core ally with the lowest maximum HP. When the wearer effectively heals a different core ally with an active, shield the bound ally for 25% of the HP restored, capped at 2% of the wearer's maximum HP, for 2s. Once per 2s; the binding never moves after death.",Keepsake,None,Supp
Grounding Spur,"After the wearer uses a purely non-damaging active, its next incoming melee basic hit within 2s deals 25% less damage. Its next personal basic during that window deals 15% less primary damage. One defensive charge; 3s grant cooldown.",Hopgrit,"Birds only: Cragbeak, Veilheron, Honeylark, Hushowl, Hopgrit, Glassphoenix, Tempestrook.",Tank
Bottled Pressure,The first damaging pulse from each structure deployed by the wearer reduces the HIT of up to three enemies it actually damages by 20 for 3s. At most one eligible structure per deployment cast; creature attacks and later pulses do not reapply it.,Tempestool,None,Summon
Ratchet Core,"Each landed basic on the same normal enemy adds 5% primary damage to subsequent basics, up to 25%. Casting any active, missing a basic, or genuinely changing normal targets resets the bonus. Temporary taunts neither build nor reset it.",Windlass,Construct family only.,DPS
Stormpinion,The wearer's first single-target damaging active every 6s splashes 25% of its pre-mitigation primary damage onto up to two other enemies within one melee reach of the target. Each splash is capped at 0.40 x the wearer's primary attack stat; never repeats against the primary target.,Tempestrook,None,DPS
Velvet Thimble,"The wearer's primary basic damage is 15% lower, but its damaging actives reduce their primary target's direct active-skill damage by 12% for 3s. Repeated debuffs refresh rather than stack; secondary splash cannot apply the debuff.",Velvimp,Demon / fiend or Afterlife spirit families only.,Debuff
Pond-Choir Reed,"After the wearer effectively heals a core ally with an active, that ally's next landed basic within 3s splashes 25% of its pre-mitigation primary damage onto one other nearby enemy. Splash is capped at 0.40 x the wearer's MATK and uses the basic's damage type; one charge per ally.",Brooktoad,None,Supp
Coal-Cheek Sachet,"Each newly applied burn from the wearer has a first tick dealing 60% more damage, but later ticks deal 15% less damage. Refreshing an existing burn does not create another first tick; separate burns retain their normal stacking limits.",Puffiend,None,DPS
Kiln Patch,"The first creature or structure created by each of the wearer's deployment casts takes 30% less direct damage for 2s. Choose the first spawned entity when a cast creates several; this does not increase HP, lifespan, or summon count.",Crucibulk,None,Summon
Starbelly Lens,"Every three landed personal magic basics store a Star. The wearer's next damaging active spends it for 0.40 x its MATK as extra magic damage to the primary target. One Star maximum; physical basics, summons, and bonus hits do not count.",Starfrog,None,DPS
Dawn-Ribbon,"Direct active heals on a core ally above 60% HP are 20% weaker, but the primary recipient takes 18% less direct magic damage for 3s. Heals on lower-HP allies are unchanged and grant no resistance; repeated buffs refresh.",Auroradrake,None,Supp
Queen's Attendance,"The first living creature summoned by the wearer becomes its Standard-Bearer. While it lives, up to three other creatures summoned by that same wearer deal 15% more primary basic damage. If it dies, a later deployment may appoint a new bearer after 4s; structures and the wearer gain nothing.",Cindertroop,None,Summon
Lucky Carapace,"Every second basic attack evaded through normal FLEE primes a 25% reduction to the wearer's next incoming direct active hit within 3s. One charge; 4s trigger cooldown. Blocks, invulnerability, and missed enemy actives do not count as evades.",Cloverguard,None,Tank
Reef-Spring Spur,A damaging active that lands primes the wearer's next basic against that same enemy within 2s for 30% more primary damage. That basic has 10 less HIT. One stored target and charge; a new active replaces rather than stacks it.,Reefvault,Invertebrate family only.,DPS
Candle-Soul Drop,"When a personal damaging active lands while the living trainer is below 50% HP, shield the trainer for 3% of the wearer's maximum HP for 2s. At most once per 5s; the item cannot trigger after trainer defeat.",Cinderwink,None,Supp
Folded Leafblade,"The first personal basic launched after at least 1.5s without a personal basic deals 35% more primary physical damage if it lands. Launching a basic, even a miss, resets the wait; active skills do not reset it.",Leafmantis,None,DPS
Lantern Dust,"Active shields the wearer creates on other core allies have 20% less capacity, but their recipients gain +12 percentage points of critical chance while those shields remain, up to 3s. Chance is capped at 100%; overlapping copies do not stack.",Lumimoth,None,Supp
Mirror Splinter,"After the wearer survives direct magic damage to HP, its next landed basic within 3s adds 20% of that HP loss as magic damage, capped at 0.45 x its primary attack stat. One stored hit; 3s trigger cooldown. The original damage is not prevented or reflected automatically.",Mirrormantis,None,DPS
Tri-Facet Pin,Landing the primary hits of all three different active slots on the same enemy within 6s triggers 0.65 x the wearer's primary attack stat as bonus damage in the last hit's damage type. Then reset the count; 6s trigger cooldown. Non-damaging slots cannot fill a facet.,Prismspear,None,DPS
Amber Doorstop,"For 3s after the wearer casts an active that includes Taunt, take 18% less primary basic damage but 10% more direct active damage. The window activates even if the target resists Taunt; it does not change reach or force an illegal target.",Resinrook,None,Tank
Saffron Thread,"When the wearer applies a non-shield positive stat buff with an active to another core ally, that ally's next active heal or shield gains 25% more primary amount within 4s. One charge per ally; summons and purely offensive allies without those moves cannot use it.",Saffrune,None,Supp
Coalgrub Husk,"An enemy-applied damage-over-time tick that removes the wearer's HP primes a 20% reduction to its next direct enemy hit within 2s. One charge; 3s trigger cooldown. The tick itself is not reduced, and self-inflicted effects do not qualify.",Coalgrub,Invertebrate family only.,Tank
Sun-Mirror Flake,"When the wearer shields another core ally with an active, that ally receives 20% stronger active healing from other allies for 3s, but 15% weaker healing from the wearer. Self-shields do not grant the effect; repeated applications refresh.",Sunscarab,None,Supp
Drumback Rattle,Every third primary enemy basic hit against the wearer grants the other equipped monster 20% basic attack rate for 2s. At most once per 4s; one attack cycle counts once even if it hits several times. Temporary summons never receive the buff.,Brontobug,None,Supp
Mourning Ribbon,"The wearer's direct active healing is 15% weaker, but its primary damaging active hits reduce the target's next active heal or shield by 30% within 4s. One debuff charge per enemy; 4s application cooldown shared across targets.",Mournmantle,None,Debuff
Whistling Seed,Every two landed personal basics prime the wearer's next direct active heal to grant its primary core-ally recipient 18% more primary damage on their next damaging active within 3s. One stored preparation and one recipient charge; basic damage is not increased.,Whistlepod,None,Supp
Moon-Spool Thread,The first damaging pulse of a persistent zone personally created by the wearer reduces up to three damaged enemies' HIT by 15 and healing received by 15% for 3s. One application per zone; zones created by summoned creatures do not qualify.,Moonweaver,None,Debuff
Pearl Knot,"A landed critical personal basic shields the most injured other core ally for 0.20 x the wearer's ATK for 2s, capped at 3% of the wearer's maximum HP. At most once per 2s; the wearer cannot receive this shield.",Pearlweaver,None,Supp
Silkstep Wrap,"After using a purely non-damaging active, gain +35 FLEE for the next incoming basic attack within 2s. The charge is consumed whether that attack hits or misses; active attacks do not consume it. One charge; 3s grant cooldown.",Silkstep,Skeletal / undead family only.,Tank
Root-Hand Clasp,"After the wearer damages an enemy with a personal basic, its next direct active heal within 3s gives the primary recipient 10% lifesteal from personal basic HP damage for 3s. Lifesteal is capped at 2% of the recipient's maximum HP per second and does not trigger healing effects.",Grinroot,None,Supp
Lift Bladder,"While deployed in the middle or back row, the wearer takes 25% less secondary splash damage but 10% more primary damage from enemy actives. The starting row determines this for the whole battle; normal movement does not toggle it.",Cloudfin,Aquatic family only.,Tank
Hex-Spine Salt,"After the wearer survives a primary critical hit, that attacker loses 18 percentage points of critical chance for 3s. Chance cannot fall below zero; 3s trigger cooldown. Does not affect the hit that triggered it.",Hexurchin,None,Debuff
Dew-Braid,"When the wearer alternates direct active heals between different core allies, the latest primary recipient gains 18% primary magic active damage for 3s. Repeatedly healing the same ally grants nothing; the first heal establishes the previous recipient.",Dewloop,None,Supp
Numbing Ribbon,"The wearer's damaging actives deal 12% less primary damage, but their primary targets lose 15 percentage points of critical chance for 3s. Repeated applications refresh; chance cannot fall below zero.",Driftjelly,None,Debuff
Prism Pincer,"The wearer's basic attack rate is 20% lower, but its basic attacks deal 35% more primary damage. Active damage, damage-over-time ticks, and triggered bonus hits are unchanged.",Snapglass,None,DPS
Debt Slate,"When the wearer's current normal enemy casts a purely non-damaging active, the wearer's next three landed basics against it deal 20% more primary damage. Charges last 4s; a genuine target change clears them; new triggers replenish to three instead of stacking.",Kiteskulk,None,DPS
Lotus Lining,"When one active heal from the wearer restores HP to at least two core allies, its nonprimary recipients gain +20 HIT and 10% basic attack rate for 2s. The primary recipient receives no item buff; summons and later passive heals are excluded.",Lotusmanta,None,Supp
Windowglass Core,"Direct physical damage to the wearer is reduced by 15%, but direct magic damage is increased by 15%. Damage over time is unchanged. This trades one defensive matchup for another rather than adding general durability.",Mistmelt,Elemental / abstract family only.,Tank
Shale Wedge,A personal primary hit against an enemy currently targeting the trainer weakens that enemy's next basic against the trainer by 25% for up to 3s. One protection charge per enemy; 3s application cooldown shared across targets.,Cairnclamp,None,Supp
Paddle-Palm Band,"After the wearer effectively heals another core ally with an active, its next two landed basics against that ally's normal enemy gain +20 HIT and add 0.15 x the wearer's ATK physical damage. One stored enemy; charges expire after 3s and refresh to two.",Tideotter,None,DPS
Veil Needle,"When an active shield created by the wearer is broken on another core ally, that ally's next personal active within 3s heals the wearer for 3% of the wearer's maximum HP. One pending ally at a time; 4s trigger cooldown. Shield expiration does not qualify.",Veilora,None,Supp
Ash-Gaze Lens,The wearer's landed critical basics reduce the enemy's ATK by 12% for 2s. MATK is unchanged; repeated applications refresh rather than stack. Critical passive or equipment damage does not apply it.,Ashbasilisk,None,Debuff
Charred Leaf,"While suffering an enemy-applied burn or poison, the wearer receives 20% stronger healing from other core allies but deals 12% less primary direct damage. Self-inflicted effects, bleeding, and item healing do not activate or benefit from this effect.",Slagbud,Plant / fungus family only.,Tank
Regal Ash,"While inside a persistent zone it personally created, the wearer deals 20% more primary magic active damage but receives 15% less healing. The zone does not follow the wearer or gain extra duration, and summoned creatures' zones do not count.",Cinderempress,None,DPS
Scorchglass Disk,"After the wearer uses all three different active slots, immediately trigger one ordinary tick of its oldest active damage-over-time effect on its current normal enemy. Does not refresh duration or count as a new application; at most once per 6s. If no eligible effect exists, the completion is spent.",Ashskate,None,DPS
Ribwheel Cog,"After a purely non-damaging active, the wearer's next landed basic within 3s deals 35% more primary damage. Until it lands or the charge expires, the wearer takes 10% more direct damage. One charge; repeating an active refreshes the risk window without stacking power.",Ribwhirl,Skeletal / undead family only.,DPS
Bent-Frond Hook,"After a normal personal basic misses, the wearer's next damaging active within 3s gains +35 HIT and 15% more primary physical damage. One charge; 3s trigger cooldown. An empowered basic or active missing cannot retrigger this item.",Ferncoil,None,DPS
Upright Shell,"A landed damaging active primes a 20% reduction to the wearer's next incoming direct active hit within 3s. One charge; 4s grant cooldown. Basic attacks do not consume it, and a multi-hit active receives protection on only its first hit.",Ironback,None,Tank
Shed Slag Ring,"Self-shields created by the wearer have 25% less capacity. When enemy damage breaks its last self-shield, reduce the remaining cooldown of its shortest-base-cooldown active by 0.75s. At most once per 4s; no refund on expiry, dispelling, or an already-ready skill.",Moltencoil,Reptile / amphibian family only.,DPS
Clear-Steam Gills,"Successfully removing at least one harmful effect with an active grants the primary cleansed core ally 18% basic attack rate for 3s. Empty cleanses grant nothing; one buff per cast, refreshing rather than stacking.",Steamaxolotl,None,Supp
Tidecall Shell,"Active shields the wearer creates on other core allies have 25% less capacity, but their primary recipient gains 15% primary direct damage for 3s. The damage buff persists if the shield breaks; self-shields and secondary recipients are unchanged.",Tidecrown,None,Supp
Old-Growth Chip,"When another core ally effectively heals the wearer with an active, repair its most injured living summoned creature for 25% of the HP restored, capped at 3% of the wearer's maximum HP. Once per 2s; one creature only, no structures, no revival, and no lifespan extension.",Elderroot,None,Summon
Unopened Emberseed,"The first entity from each of the wearer's deployment casts adds 0.35 x the wearer's primary attack stat to its first landed primary damaging action, in that action's damage type. One eligible entity per cast and one bonus per entity; 5s grant cooldown. Healing-only entities get no substitute benefit.",Emberorchid,None,Summon
Nightlight Spore,"Healing pulses from structures deployed by the wearer are 15% weaker, but each pulse's primary core-ally recipient gains +25 HIT for 2s if HP was restored. The accuracy buff refreshes rather than stacks; personal heals and creature heals are unchanged.",Glowcap,None,Summon
Last-Rosette Petal,A direct active heal on a core ally below 35% HP primes that ally's next damaging active within 4s for 25% more primary damage. Check HP before healing. One charge per ally; 5s grant cooldown shared across the party; no bonus healing is added.,Marigloom,None,Supp
Seedling Patch,"After the wearer directly heals another core ally with an active, the next enemy basic that removes the wearer's HP within 3s heals it for 3% of its maximum HP afterward. One charge; 4s trigger cooldown. This cannot heal a wearer killed by the triggering hit.",Mossling,Plant / fungus family only.,Tank
Corolla Vane,"After the wearer lands a primary magic active hit, the other equipped monster's next physical damaging active within 3s gains 18% primary damage. One charge; 4s grant cooldown. The trainer and temporary summons cannot consume it.",Skycorolla,None,Supp
Amber Splint,"After an enemy breaks the wearer's last personal shield, its next incoming active heal within 3s ignores up to 25 percentage points of negative healing-received modifiers. It never exceeds the heal's ordinary value without those penalties; one charge; 5s trigger cooldown.",Ambercolossus,Construct family only.,Tank
Closed Flower Bud,"Store 30% of overhealing the wearer receives from core allies' active heals, up to 5% of its maximum HP. Its next landed damaging active releases the store as healing to the most injured other core ally. If both others are at full HP, retain the store; item healing cannot refill it.",Bloomslime,None,Supp
Unrung Bell,"After the trainer uses a damaging active, the wearer's next direct active heal on the trainer within 3s grants the trainer 18% more primary damage on their next damaging active within 4s. One charge; healing a different ally spends nothing but gains no buff.",Echochime,None,Supp
Smudge Stamp,"The wearer's basic attacks deal 10% less primary damage, but every third landed basic reduces its target's HIT by 25 for 3s. Hits may build the counter across targets; the debuff refreshes instead of stacking.",Inksprite,None,Debuff
Little Jawbone,"While the other equipped monster is alive and below 50% HP, the wearer's landed damaging active shields that monster for 4% of the wearer's maximum HP for 2s. At most once per 5s. It never targets the trainer or a summoned creature.",Cairnkin,None,Supp
Coffin Latch,"Each enemy magical active that directly damages the wearer grants one Latch, maximum two; one Latch per cast. Its next purely non-damaging active spends all Latches for 12% direct magic damage reduction per Latch for 3s. New grants do not refresh the active reduction.",Casketot,Haunted object or Afterlife spirit families only.,Tank
Kiln Rivet,"If the last two primary enemy hits against the wearer came from the same enemy within 3s, its next landed damaging active grants a 4% maximum-HP self-shield for 3s. Consume the remembered pair when used; 4s trigger cooldown; redirected damage is excluded.",Kilncoil,None,Tank
Third Mask,"When the wearer casts a personal active while at least two of its own summoned creatures are alive, shield its two oldest living creatures for 3% of the wearer's maximum HP each for 2s. Once per 5s; structures and creatures summoned by teammates do not count.",Maskin,None,Summon
Backward Spiral,"While shielded, the wearer cannot receive critical damage from primary enemy basic attacks; they use their normal noncritical damage instead. In exchange, the wearer's own basic attacks cannot critically hit at any time. Enemy active criticals are unchanged.",Shellsnail,None,Tank
