id,name,family,region,design_role,combat_identity,prototype_mechanical_role,element,attack_base,basic_category,base_hp,base_attack,speed,ready_seconds,arena_move_per_second,basic_reach,passive_id,passive,passive_description,skills,default_three,habitat,source_level,sheet_source_level,encounter_source,map_species_count,availability_percent,recheck_seconds,echo_percent,live_loot_json,xp_per_participating_individual,future_boss_essence_json,proposed_not_live_loot_json,silhouette_brief,animation_brief,art_status,all_habitats_json
seedhare,Seedskit,Plant / fungus,Mosslight,DPS,Evasive melee DPS,Melee DPS,Earth,Strength-based,melee,576,42,60.60606060606061,1.65,10,34,innate-seedhare,Packed Pod,"Start with 3 Seeds, maximum 3. A basic attack spends one Seed for +0.25 ATK physical damage; one Seed can be spent per attack cycle.",sig-seedhare-seedshot=Seedshot; sig-seedhare-pod-refill=Pod Refill; sig-seedhare-splitpod-salvo=Splitpod Salvo; general-guard=Guard; general-fortify=Fortify; seedhare_0=Petal Pounce; seedhare_1=Petal Quickstep; seedhare_2=Petal Spore Toss; seedhare_3=Petal Barkskin; seedhare_4=Petal Grove Renewal,sig-seedhare-seedshot; sig-seedhare-pod-refill; sig-seedhare-splitpod-salvo,clearing-2,8,8,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 8, ""chanceBP"": 10000}, {""id"": ""echo:seedhare"", ""quantity"": 1, ""chanceBP"": 1500}]",1100,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A split seedpod holds a tiny bright face above two long spring-root legs, with a pair of small leaves folded like ears.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-2:seedhare"", ""map"": ""clearing-2"", ""mapName"": ""Elderroot Glade"", ""level"": 8, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1360.8, ""y"": 4830, ""radiusWorldUnits"": 200}]"
mossling,Mossling,Plant / fungus,Mosslight,Tank / Supp,Regrowing frontline helper,Support,Earth,Strength-based,melee,469,21,51.948051948051955,1.9249999999999998,8,12,innate-mossling,Patchwork Garden,"Each cumulative 10% max HP lost to enemy HP damage grows one Seedling, maximum 3; at most one per damage event. Moss Patch or Head Garden spends all Seedlings for its listed bonus.",sig-mossling-root-mitten-mash=Root-Mitten Mash; sig-mossling-moss-patch=Moss Patch; sig-mossling-head-garden=Head Garden; general-fortify=Fortify; general-brace=Brace; general-basic-heal=Basic Heal; mossling_0=Sprout Little Bloom; mossling_1=Sprout Petal Ward; mossling_2=Sprout Rootbind; mossling_3=Sprout Fresh Start; mossling_4=Sprout Grove Renewal,sig-mossling-root-mitten-mash; sig-mossling-moss-patch; sig-mossling-head-garden,clearing-3,10,10,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 9, ""chanceBP"": 10000}, {""id"": ""echo:mossling"", ""quantity"": 1, ""chanceBP"": 1500}]",1300,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A squat moss being has a hollow, bowl-shaped head, root mittens and small seedlings sprouting from patched areas of its body.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-3:mossling"", ""map"": ""clearing-3"", ""mapName"": ""Rootveil Cave"", ""level"": 10, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 1411.2, ""y"": 5033.7, ""radiusWorldUnits"": 200}]"
acornboar,Tuskettle,Beast,Mosslight,Tank,Frontline guard,Tank,Earth,Strength-based,melee,952,24,44.44444444444444,2.25,5.6,12,innate-acornboar,Acorn Aegis,"At battle start, gain a shield equal to 10% max HP. While any shield remains, the trainer takes 10% less direct damage.",sig-acornboar-tusk-tuck=Tusk Tuck; sig-acornboar-cup-the-flame=Cup the Flame; sig-acornboar-acorn-bunker=Acorn Bunker; general-brace=Brace; general-focused-attack=Focused Attack; acornboar_0=Acorn Pebble Slam; acornboar_1=Acorn Fortify; acornboar_2=Acorn Bondguard; acornboar_3=Acorn Antler Rush; acornboar_4=Acorn Lifebud,sig-acornboar-tusk-tuck; sig-acornboar-cup-the-flame; sig-acornboar-acorn-bunker,clearing-1,12,12,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:acornboar"", ""quantity"": 1, ""chanceBP"": 1500}]",1500,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A low, round boar with a huge acorn-cup shoulder plate, tiny rear legs and blunt tusks that tuck neatly under its chin.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-1:acornboar"", ""map"": ""clearing-1"", ""mapName"": ""Fernpath Woods"", ""level"": 12, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3603.6000000000004, ""y"": 2984.1, ""radiusWorldUnits"": 200}]"
pebblepup,Pebblepup,Beast,Mosslight,Fighter,Mobile skirmishing fighter,Melee DPS,Earth,Strength-based,melee,600,44,60.60606060606061,1.65,10,12,innate-pebblepup,Stay Close,"While Pebblepup and the trainer share a normal attack target, Pebblepup gains 10% damage reduction and +15 HIT. Check live target identity; no movement bonus.",sig-pebblepup-paddle-paw=Paddle-Paw; sig-pebblepup-loyal-bark=Loyal Bark; sig-pebblepup-stone-fetch=Stone Fetch; general-battle-rhythm=Battle Rhythm; general-fortify=Fortify; pebblepup_0=Pebble Pounce; pebblepup_1=Pebble Boulder Toss; pebblepup_2=Pebble Quickstep; pebblepup_3=Pebble Fortify; pebblepup_4=Pebble Wild Lunge,sig-pebblepup-paddle-paw; sig-pebblepup-loyal-bark; sig-pebblepup-stone-fetch,clearing-2,14,14,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:pebblepup"", ""quantity"": 1, ""chanceBP"": 1500}]",1700,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A broad, pebble-bodied puppy has oversized paddle paws, a tiny stone tail and a muzzle that always looks slightly surprised.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-2:pebblepup"", ""map"": ""clearing-2"", ""mapName"": ""Elderroot Glade"", ""level"": 14, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3855.6000000000004, ""y"": 7349.999999999999, ""radiusWorldUnits"": 200}]"
dewfin,Dewloop,Elemental / abstract,Mosslight,Supp,Lightweight recovery support,Support,Water,Int-Based,magic,493,22,51.948051948051955,1.9249999999999998,8,34,innate-dewfin,Water Finds a Way,"After a single-target active restores HP, shield a different living ally with the lowest HP% for 0.35 MATK for 2s. One secondary shield per cast; no trigger on full overheal, team heals, or secondary procs.",sig-dewfin-droplet-stitch=Droplet Stitch; sig-dewfin-ring-of-return=Ring of Return; sig-dewfin-return-to-source=Return to Source; general-quick-strike=Quick Strike; general-rally=Rally; dewfin_0=Dew Healing Ripples; dewfin_1=Dew Bubble Ward; dewfin_2=Dew Riptide; dewfin_3=Dew River Cleanse; dewfin_4=Dew Springwater,sig-dewfin-droplet-stitch; sig-dewfin-ring-of-return; sig-dewfin-return-to-source,clearing-3,12,12,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:dewfin"", ""quantity"": 1, ""chanceBP"": 1500}]",1500,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A clear ring of water surrounds a small suspended bead-face, with two dangling droplet feet and a folded leaf collar.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-3:dewfin"", ""map"": ""clearing-3"", ""mapName"": ""Rootveil Cave"", ""level"": 12, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 3763.2000000000003, ""y"": 3320.1, ""radiusWorldUnits"": 200}]"
cloverbug,Cloverguard,Invertebrate,Mosslight,Tank,Folding-shell tank,Tank,Earth,Strength-based,melee,976,26,44.44444444444444,2.25,5.6,12,innate-cloverbug,Lucky Leaf,"Start with one Clover, maximum 2. Evading an eligible enemy basic attack grants one Clover.",sig-cloverbug-leafplate-bump=Leafplate Bump; sig-cloverbug-clover-fold=Clover Fold; sig-cloverbug-four-leaf-shelter=Four-Leaf Shelter; general-fortify=Fortify; general-brace=Brace; cloverbug_0=Clover Shell Bash; cloverbug_1=Clover Carapace; cloverbug_2=Clover Shellguard; cloverbug_3=Clover Spore Toss; cloverbug_4=Clover Lifebud,sig-cloverbug-leafplate-bump; sig-cloverbug-clover-fold; sig-cloverbug-four-leaf-shelter,clearing-1,14,14,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:cloverbug"", ""quantity"": 1, ""chanceBP"": 1500}]",1700,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A broad beetle has four rounded, leaf-shaped shell plates, short gripping legs and a small face beneath a deep front rim.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-1:cloverbug"", ""map"": ""clearing-1"", ""mapName"": ""Fernpath Woods"", ""level"": 14, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 7207.200000000001, ""y"": 7100.099999999999, ""radiusWorldUnits"": 200}]"
ferncoil,Ferncoil,Plant / fungus,Mosslight,DPS,Ambush plant DPS,Ranged DPS,Earth,Dex-Based,ranged,569,41,54.05405405405405,1.85,8,12,innate-ferncoil,Elastic Recoil,"After a basic attack misses, gain Recoil: the next basic has +40 HIT and, if it lands, +0.25 ATK physical damage. One charge maximum; the empowered basic cannot generate a new Recoil if it also misses.",sig-ferncoil-coiled-whip=Coiled Whip; sig-ferncoil-frond-fence=Frond Fence; sig-ferncoil-fully-unfurled=Fully Unfurled; general-battle-rhythm=Battle Rhythm; general-fortify=Fortify; ferncoil_0=Fern Rootbind; ferncoil_1=Fern Spore Toss; ferncoil_2=Fern Entangle; ferncoil_3=Fern Quickstep; ferncoil_4=Fern Boulder Toss,sig-ferncoil-coiled-whip; sig-ferncoil-frond-fence; sig-ferncoil-fully-unfurled,clearing-2,16,16,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 11, ""chanceBP"": 10000}, {""id"": ""echo:ferncoil"", ""quantity"": 1, ""chanceBP"": 1500}]",1900,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A tightly coiled fern has hooked root feet, two pale eyes beneath its fronds and a long stem edged with folding leaf blades.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-2:ferncoil"", ""map"": ""clearing-2"", ""mapName"": ""Elderroot Glade"", ""level"": 16, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 7824.599999999999, ""y"": 6615, ""radiusWorldUnits"": 200}]"
honeybat,Honeylark,Avian,Mosslight,Supp,Song-based sustain support,Support,Wind,Int-Based,magic,461,20,51.948051948051955,1.9249999999999998,8,34,innate-honeybat,Sweet Follow-Through,An ally receiving effective healing from Honeylark gains Nectar for 3s: its next basic attack deals 15% more damage. One Nectar per ally; triggered/echoed damage cannot consume or retrigger it.,sig-honeybat-nectar-note=Nectar Note; sig-honeybat-golden-duet=Golden Duet; sig-honeybat-honeychorus=Honeychorus; general-rally=Rally; general-basic-heal=Basic Heal; honeybat_0=Honey Moondust; honeybat_1=Honey Guiding Lantern; honeybat_2=Honey Fresh Start; honeybat_3=Honey Moonbeam; honeybat_4=Honey Petal Ward,sig-honeybat-nectar-note; sig-honeybat-golden-duet; sig-honeybat-honeychorus,clearing-3,18,18,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:honeybat"", ""quantity"": 1, ""chanceBP"": 1500}]",2100,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A round little bird has a short beak, two honey-colored throat sacs and a broad feather bib that almost covers its feet.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-3:honeybat"", ""map"": ""clearing-3"", ""mapName"": ""Rootveil Cave"", ""level"": 18, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 7879.200000000001, ""y"": 6961.5, ""radiusWorldUnits"": 200}]"
reedwren,Snipstream,Elemental / abstract,Mosslight,DPS,Ranged ricochet DPS,Ranged DPS,Wind,Dex-Based,ranged,529,39,52.63157894736842,1.9000000000000001,8,34,innate-reedwren,Waste Nothing,Three consecutive landed personal basic attacks generate a 0.20 ATK Cut Reserve; a miss resets that count. A direct personal kill of an eligible encounter enemy instead stores unused direct damage up to 0.70 ATK.,sig-reedwren-crosscut-gust=Crosscut Gust; sig-reedwren-slipstream-edge=Slipstream Edge; sig-reedwren-clean-cut=Clean Cut; general-battle-rhythm=Battle Rhythm; general-fortify=Fortify; reedwren_0=Reed Skyneedle; reedwren_1=Reed Headwind; reedwren_2=Reed Tailwind; reedwren_3=Reed Chain Spark; reedwren_4=Reed Quickstep,sig-reedwren-crosscut-gust; sig-reedwren-slipstream-edge; sig-reedwren-clean-cut,clearing-1,16,16,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 11, ""chanceBP"": 10000}, {""id"": ""echo:reedwren"", ""quantity"": 1, ""chanceBP"": 1500}]",1900,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A small wind being folds into two sharp chevrons around a dark eye, with one soft tuft trailing from its pointed head.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-1:reedwren"", ""map"": ""clearing-1"", ""mapName"": ""Fernpath Woods"", ""level"": 16, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 9282, ""y"": 4630.5, ""radiusWorldUnits"": 200}]"
briarcrab,Grinroot,Demon / fiend,Mosslight,Fighter / Supp,Disruptive melee helper,Tank,Earth,Strength-based,melee,952,24,45.45454545454545,2.2,5.6,12,innate-briarcrab,Helping Hands,"Every second landed basic attack grows one Sprout, maximum 2. An ally-directed heal or shield consumes all Sprouts for +15% amount per Sprout, once per cast.",sig-briarcrab-rootknuckle=Rootknuckle; sig-briarcrab-grinning-guard=Grinning Guard; sig-briarcrab-wildroot-remedy=Wildroot Remedy; general-fortify=Fortify; general-basic-heal=Basic Heal; briarcrab_0=Briar Bondguard; briarcrab_1=Briar Shell Bash; briarcrab_2=Briar Fortify; briarcrab_3=Briar Rootbind; briarcrab_4=Briar Rallying Ward,sig-briarcrab-rootknuckle; sig-briarcrab-grinning-guard; sig-briarcrab-wildroot-remedy,clearing-2,18,18,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:briarcrab"", ""quantity"": 1, ""chanceBP"": 1500}]",2100,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A soil-colored imp has curling root-like horns, huge open palms and a leaf-shaped tail, with an irrepressible crooked grin.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-2:briarcrab"", ""map"": ""clearing-2"", ""mapName"": ""Elderroot Glade"", ""level"": 18, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 9639, ""y"": 4200, ""radiusWorldUnits"": 200}]"
glowcap,Glowcap,Plant / fungus,Mosslight,Supp,Area-buff support,Support,Earth,Int-Based,magic,485,22,51.948051948051955,1.9249999999999998,8,34,innate-glowcap,Little Nightlight,Glowseed's target receives a 0.25 MATK shield until its delayed heal resolves. A new Nightlight Cap grants a 0.25 MATK shield for 2s to each ally initially in its radius.,sig-glowcap-glowseed=Glowseed; sig-glowcap-floating-canopy=Floating Canopy; sig-glowcap-mushroom-dawn=Mushroom Dawn; general-basic-heal=Basic Heal; general-greater-heal=Greater Heal; glowcap_0=Glow Spore Toss; glowcap_1=Glow Little Bloom; glowcap_2=Glow Fresh Start; glowcap_3=Glow Petal Ward; glowcap_4=Glow Healing Ripples,sig-glowcap-glowseed; sig-glowcap-floating-canopy; sig-glowcap-mushroom-dawn,clearing-3,20,20,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:glowcap"", ""quantity"": 1, ""chanceBP"": 1500}]",2300,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A small mushroom body peers up at its own wide hovering cap, with tiny root hands reaching toward the cap's pale underside.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-3:glowcap"", ""map"": ""clearing-3"", ""mapName"": ""Rootveil Cave"", ""level"": 20, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 10113.6, ""y"": 5247.9, ""radiusWorldUnits"": 200}]"
leafmantis,Leafmantis,Invertebrate,Mosslight,DPS,Ambush melee DPS,Melee DPS,Wind,Dex-Based,ranged,608,44,58.82352941176471,1.7,10,12,innate-leafmantis,Folded Ambush,Casting a non-damaging active grants Ambush for 3s: the next direct attack deals 20% more damage. One Ambush at a time; it can be spent by a basic attack.,sig-leafmantis-budblade=Budblade; sig-leafmantis-close-the-leaves=Close the Leaves; sig-leafmantis-unfurling-cut=Unfurling Cut; general-brace=Brace; leafmantis_0=Leaf Antler Rush; leafmantis_1=Leaf Wild Lunge; leafmantis_2=Leaf Quickstep; leafmantis_3=Leaf Rootbind; leafmantis_4=Leaf Snowhide,sig-leafmantis-budblade; sig-leafmantis-close-the-leaves; sig-leafmantis-unfurling-cut,clearing-1,22,22,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 13, ""chanceBP"": 10000}, {""id"": ""echo:leafmantis"", ""quantity"": 1, ""chanceBP"": 1500}]",2500,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A low, angular mantis folds its broad forearms into a closed leaf bud over its face, leaving thin eyes visible beneath.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-1:leafmantis"", ""map"": ""clearing-1"", ""mapName"": ""Fernpath Woods"", ""level"": 22, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 5678.400000000001, ""y"": 7820.400000000001, ""radiusWorldUnits"": 200}]"
rillrook,Keepsake,Afterlife spirit,Willowbrook,Supp,Protective soul support,Ranged DPS,Water,Int-Based,magic,561,41,54.05405405405405,1.85,8,34,innate-rillrook,Held Dear,"The first time each battle the trainer is about to be reduced below 30% HP by a direct enemy hit, add a shield equal to 8% max HP before that hit resolves. Requires Keepsake alive; excess damage can still kill the trainer.",sig-rillrook-pebble-promise=Pebble Promise; sig-rillrook-remembered-warmth=Remembered Warmth; sig-rillrook-precious-circle=Precious Circle; general-quick-strike=Quick Strike; general-greater-heal=Greater Heal; rillrook_0=Rill Riptide; rillrook_1=Rill Skyneedle; rillrook_2=Rill Tailwind; rillrook_3=Rill Frostbolt; rillrook_4=Rill Bubble Ward,sig-rillrook-pebble-promise; sig-rillrook-remembered-warmth; sig-rillrook-precious-circle,brook-0,12,12,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:rillrook"", ""quantity"": 1, ""chanceBP"": 1500}]",1500,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]",A small translucent spirit hugs a smooth pebble; a ring of smaller stones floats inside its rounded belly beneath shy eyes.,Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-0:rillrook"", ""map"": ""brook-0"", ""mapName"": ""Brookside Fields"", ""level"": 12, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 6559.6, ""y"": 6652.8, ""radiusWorldUnits"": 200}]"
shellsnail,Shellsnail,Aquatic,Willowbrook,Fighter,Straight-line charge fighter,Tank,Water,Strength-based,melee,984,26,44.9438202247191,2.225,5.6,12,innate-shellsnail,Backward Spiral,"Take 20% less damage from direct critical hits. After surviving one, gain one Coil for 3s; the next damaging active spends it for +0.35 ATK physical damage.",sig-shellsnail-spiral-fist=Spiral Fist; sig-shellsnail-seal-the-shell=Seal the Shell; sig-shellsnail-reverse-spiral=Reverse Spiral; general-focused-attack=Focused Attack; general-brace=Brace; shellsnail_0=Spiral Carapace; shellsnail_1=Spiral Shellguard; shellsnail_2=Spiral Riptide; shellsnail_3=Spiral Lifebud; shellsnail_4=Spiral Iron Ward,sig-shellsnail-spiral-fist; sig-shellsnail-seal-the-shell; sig-shellsnail-reverse-spiral,brook-0,14,14,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:shellsnail"", ""quantity"": 1, ""chanceBP"": 1500}]",1700,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A small snail has a huge backward-wound spiral shell, a broad flat foot and short eye stalks above a determined little mouth.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-0:shellsnail"", ""map"": ""brook-0"", ""mapName"": ""Brookside Fields"", ""level"": 14, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 8993, ""y"": 4737.599999999999, ""radiusWorldUnits"": 200}]"
brooktoad,Brooktoad,Reptile / amphibian,Willowbrook,Supp,Local recovery support,Support,Water,Int-Based,magic,461,20,51.282051282051285,1.95,8,34,innate-brooktoad,Bowl of Plenty,"Store 50% of overhealing caused by Brooktoad as Water, capped at 0.90 MATK. Stored Water can be added only to Bowlful of Care; it never counts as new overhealing.",sig-brooktoad-dew-croak=Dew Croak; sig-brooktoad-bowlful-of-care=Bowlful of Care; sig-brooktoad-pond-chorus=Pond Chorus; general-quick-strike=Quick Strike; brooktoad_0=Brook Springwater; brooktoad_1=Brook Bubble Ward; brooktoad_2=Brook Spore Toss; brooktoad_3=Brook River Cleanse; brooktoad_4=Brook Healing Ripples,sig-brooktoad-dew-croak; sig-brooktoad-bowlful-of-care; sig-brooktoad-pond-chorus,brook-1,12,12,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:brooktoad"", ""quantity"": 1, ""chanceBP"": 1500}]",1500,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A squat toad has a wide, pale throat bowl, tiny webbed hands and a low collar of rounded leaves around its shoulders.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-1:brooktoad"", ""map"": ""brook-1"", ""mapName"": ""Rainwillow Forest"", ""level"": 12, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 1210, ""y"": 4116, ""radiusWorldUnits"": 200}]"
glassshrimp,Snapglass,Invertebrate,Willowbrook,DPS,Ranged burst DPS,Ranged DPS,Water,Strength-based,melee,529,39,54.05405405405405,1.85,8,12,innate-glassshrimp,Oversized Claw,"Basic attacks deal 25% more damage, but their interval is 15% longer before other speed modifiers. Skills keep ordinary timings.",sig-glassshrimp-prism-snap=Prism Snap; sig-glassshrimp-claw-cock=Claw Cock; sig-glassshrimp-glass-cracking-report=Glass-Cracking Report; general-battle-rhythm=Battle Rhythm; general-fortify=Fortify; glassshrimp_0=Glass Skyneedle; glassshrimp_1=Glass Frostbolt; glassshrimp_2=Glass Riptide; glassshrimp_3=Glass Quickstep; glassshrimp_4=Glass Bubble Ward,sig-glassshrimp-prism-snap; sig-glassshrimp-claw-cock; sig-glassshrimp-glass-cracking-report,brook-1,14,14,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 10, ""chanceBP"": 10000}, {""id"": ""echo:glassshrimp"", ""quantity"": 1, ""chanceBP"": 1500}]",1700,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A clear-bodied shrimp has one enormous prismatic claw, a narrow pointed face and a thick tail folded tightly beneath it.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-1:glassshrimp"", ""map"": ""brook-1"", ""mapName"": ""Rainwillow Forest"", ""level"": 14, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3740.0000000000005, ""y"": 2881.2000000000003, ""radiusWorldUnits"": 200}]"
